code,areaName,-8,1,2,3,4,5,6,7,8,9
18075,22056,10683,12261,4013,7608,6544,3889,5077,E14000608,Buckingham,21047
5388,12299,8242,6567,4771,10983,13157,9074,4718,E14000609,Burnley,19447
8707,15186,9310,7184,3847,8442,8781,7570,4773,E14000611,Bury North,18058
10282,17419,10769,8139,4075,9275,8689,7331,5095,E14000612,Bury South,20920
13054,22239,12605,11064,5719,11670,12126,5280,4294,E14000613,Bury St Edmunds,19396
12371,19151,9952,9645,4404,9065,10037,5395,4326,E14000614,Calder Valley,18228
17219,22916,8888,8718,4276,9693,11701,10697,10719,E14000615,Camberwell and Peckham,23207
6505,14979,8719,10835,5249,11775,10539,5321,4720,E14000616,Camborne and Redruth,16798
26622,19175,7833,6941,3526,7278,8689,5286,29099,E14000617,Cambridge,19298
6934,15477,9696,8647,6266,12023,13156,6579,3699,E14000618,Cannock Chase,18041
12196,18693,8986,9988,4003,8851,7972,6302,19125,E14000619,Canterbury,17273
7846,14268,11137,9656,4562,9703,8331,5734,3175,E14000622,Castle Point,15175
11303,18690,11045,11104,4790,9916,9616,4601,4321,E14000624,Central Suffolk and North Ipswich,17741
12194,18990,11404,9460,4782,9111,9994,5377,4583,E14000625,Charnwood,19028
7829,15441,10818,9136,5143,10173,11135,6504,4369,E14000626,Chatham and Aylesford,22015
15736,19641,10287,8035,2876,6709,4727,4996,4317,E14000627,Cheadle,18154
15497,21178,12288,8815,4315,9474,8925,5458,5519,E14000628,Chelmsford,21401
24399,19399,6074,9346,1969,5132,4724,7014,8203,E14000629,Chelsea and Fulham,15495
15346,20223,10662,8708,3975,9574,8210,5067,6865,E14000630,Cheltenham,18498
17818,18934,8823,10202,2651,6125,4658,3953,4307,E14000631,Chesham and Amersham,19216
8017,14720,9689,6908,5009,11516,11888,6293,3471,E14000632,Chesterfield,15730
15139,22376,10658,13807,4687,9988,8077,5530,6351,E14000633,Chichester,17808
12443,16822,9057,10376,3045,6850,6173,6950,5415,E14000634,Chingford and Woodford Green,18845
13239,18973,10309,8847,4825,9688,9566,4233,3992,E14000635,Chippenham,17965
18649,21251,10220,12833,3062,7086,5931,8386,7122,E14000636,Chipping Barnet,22972
11595,19409,10772,8498,4972,10023,10376,5725,4160,E14000637,Chorley,19480
10729,16958,10501,10076,3792,9522,6372,4617,2889,E14000638,Christchurch,12348
26164,17911,5549,8327,2088,4742,4103,8491,13003,E14000639,Cities of London and Westminster,10658
13703,17965,9146,7115,4392,8884,9091,5594,8223,E14000640,City of Chester,16154
9787,14834,8320,5671,4139,8146,9553,6640,17922,E14000641,City of Durham,14342
5261,12435,9220,10011,5086,13148,10459,9020,2738,E14000642,Clacton,13585
6553,14590,8828,7250,6576,10411,13272,6987,3673,E14000643,Cleethorpes,16024
12053,20956,11186,9232,5159,12566,10486,6780,10651,E14000644,Colchester,24792
12691,20219,10654,9707,5031,9659,10588,7174,5720,E14000645,Colne Valley,21504
14517,20261,10535,9586,4907,8966,8598,4900,3861,E14000646,Congleton,17907
7470,14342,10527,7529,5106,12336,17225,11761,9413,E14000649,Coventry North East,28701
8872,15686,10507,7041,5464,10411,12609,7939,7926,E14000650,Coventry North West,20836
9861,16975,13116,8721,6105,12680,13287,7287,5537,E14000652,Crawley,24924
10927,17925,10792,8200,6803,11909,15649,6850,4532,E14000653,Crewe and Nantwich,20571
14300,21008,12275,10726,4438,10433,9045,9425,7846,E14000654,Croydon Central,25383
12752,22395,12897,13805,5032,12867,11851,13320,10518,E14000655,Croydon North,31219
18683,22727,12690,10851,3673,7781,6011,6978,6068,E14000656,Croydon South,23719
6978,14732,10950,11250,4758,10913,11211,9752,7849,E14000657,Dagenham and Rainham,27408
14000,19526,10821,10863,4895,8181,11213,4627,4168,E14000660,Daventry,19286
6604,13410,10417,6371,4646,9428,10345,6549,3676,E14000661,Denton and Reddish,16380
9362,16082,9380,6181,5122,10228,12018,6703,9375,E14000662,Derby North,18784
6816,13178,9179,7302,5905,11578,17324,12836,7750,E14000663,Derby South,26649
11500,15273,6877,10475,3886,6823,7476,3598,2914,E14000664,Derbyshire Dales,12006
12105,19780,10986,9752,5028,8707,9156,4339,4152,E14000665,Devizes,19809
9884,16470,9968,9229,4771,9736,12721,10331,6911,E14000666,Dewsbury,23621
7297,14886,9480,8248,6202,11542,13889,8530,3704,E14000667,Don Valley,17937
6320,14091,9348,7861,5967,11403,18284,9733,4397,E14000668,Doncaster Central,20153
5396,12739,8589,7523,6062,11585,15312,8715,3824,E14000669,Doncaster North,19091
7150,17643,10278,9622,5627,12063,10100,7422,3996,E14000670,Dover,18167
5270,11306,8453,6221,4313,9946,11067,7928,4234,E14000671,Dudley North,17511
20842,22567,7757,8677,3160,6650,7427,7683,7549,E14000673,Dulwich and West Norwood,21566
