code,areaName,-8,1,2,3,4,5,6,7,8,9
10936,12672,8502,5037,5619,4008,2916,2192,3208,E14000608,Buckingham,56164
3652,5577,4284,3490,4778,4775,3536,4088,5858,E14000609,Burnley,54612
5164,7945,5401,4036,3835,3950,3523,3120,3906,E14000611,Bury North,50978
5948,10411,6658,5038,4203,4530,3831,2922,4065,E14000612,Bury South,54390
7738,10814,8304,5418,6578,5439,3993,3965,5585,E14000613,Bury St Edmunds,59613
6942,10436,7213,4679,5374,4169,3055,2956,3947,E14000614,Calder Valley,53803
7948,18390,11942,4573,3518,6404,3905,2789,8182,E14000615,Camberwell and Peckham,60381
4885,6216,4620,3650,6607,5389,3649,3134,4666,E14000616,Camborne and Redruth,52630
6778,27220,7865,3816,3363,4466,3239,2195,6097,E14000617,Cambridge,68709
5429,6719,5789,4675,6953,4814,4112,4597,5788,E14000618,Cannock Chase,51642
6045,11481,6286,3707,4418,4293,3674,2263,4920,E14000619,Canterbury,66302
5373,5837,5381,5352,5501,3806,3106,3152,3498,E14000622,Castle Point,48581
6895,9103,6422,4997,6038,4275,3488,3211,4311,E14000624,Central Suffolk and North Ipswich,54386
7267,10669,7128,5392,5764,4342,3601,3324,4029,E14000625,Charnwood,53402
5417,7541,6399,5045,6266,4933,3726,4115,5612,E14000626,Chatham and Aylesford,53508
7658,13067,6737,4545,2954,3075,3102,1503,2275,E14000627,Cheadle,50565
7776,13808,8428,6067,4876,4558,3844,2854,5082,E14000628,Chelmsford,55578
13479,16092,10348,3435,1596,3370,2167,1082,2236,E14000629,Chelsea and Fulham,47950
7192,13362,7107,6159,4392,4204,3898,2484,4871,E14000630,Cheltenham,53460
10180,11706,6911,4131,3602,3180,2435,1383,2415,E14000631,Chesham and Amersham,50743
4542,7395,4852,4093,4739,5072,3830,3388,4883,E14000632,Chesterfield,50448
8659,10466,7609,4190,5878,4846,3381,2354,4568,E14000633,Chichester,62470
6855,11078,6697,5037,4394,3318,2702,2554,3624,E14000634,Chingford and Woodford Green,49717
6950,10540,6836,4863,5277,4467,3560,3255,4384,E14000635,Chippenham,51505
9946,16025,8308,5370,4175,4115,2965,2203,3242,E14000636,Chipping Barnet,61163
6998,10624,7183,4949,5179,4882,3554,3517,4709,E14000637,Chorley,53410
5741,6755,4685,3744,4197,3400,2911,1693,2821,E14000638,Christchurch,51856
12756,17844,9231,3181,1502,2705,2137,1190,2512,E14000639,Cities of London and Westminster,47978
6312,11744,6358,3852,3808,3982,4011,2580,4991,E14000640,City of Chester,52629
4130,9695,5084,3610,3514,3346,3026,2529,4477,E14000641,City of Durham,59943
3651,3672,3275,3035,4737,4852,3090,2633,3581,E14000642,Clacton,58440
4674,5991,5077,3921,5263,3934,3268,5399,4712,E14000643,Cleethorpes,51930
6793,12321,8599,5220,5578,6884,4760,3769,5969,E14000644,Colchester,63968
7199,11363,7495,4510,5824,4642,3409,3646,4155,E14000645,Colne Valley,60698
8114,11013,7238,4563,4804,3989,3423,2913,3976,E14000646,Congleton,54005
3963,9077,5606,4816,4804,5829,4914,5850,10152,E14000649,Coventry North East,69402
4624,9361,6256,4864,4881,4451,4018,4257,6892,E14000650,Coventry North West,57685
5955,8798,7254,5770,5330,6828,5601,5531,7836,E14000652,Crawley,59592
